,road_1,road_2,road_3,road_4,road_5,road_6,road_7,road_8,road_9,road_10,road_11,road_12,road_13,road_14,road_15,road_16,road_17,road_18
2022-07-22 01:55:00,17,25,57,16,17,17,15,10,35,110,114,24,32,29,150,47,52,54
2022-07-22 01:56:00,17,25,58,10,18,14,20,15,51,106,39,16,25,69,85,65,66,128
2022-07-22 01:57:00,18,26,59,11,15,20,17,18,25,144,59,39,71,59,108,33,20,54
2022-07-22 01:58:00,19,27,59,12,33,23,16,15,65,39,27,59,123,67,40,32,28,112
2022-07-22 01:59:00,18,27,59,6,21,17,20,16,12,42,38,68,102,66,54,29,27,48
2022-07-22 02:00:00,17,25,57,15,15,15,15,21,33,114,25,104,111,120,33,32,81,40
2022-07-22 02:01:00,17,24,56,12,15,16,19,12,92,64,108,67,49,39,30,27,18,25
2022-07-22 02:02:00,17,25,57,14,17,17,15,15,16,41,65,67,183,44,46,31,57,82
2022-07-22 02:03:00,19,27,59,9,19,17,22,17,49,43,40,49,63,36,98,52,48,82
2022-07-22 02:04:00,17,25,57,12,18,18,16,17,26,101,81,33,45,39,42,38,64,92
2022-07-22 02:05:00,18,26,59,6,18,16,18,20,52,116,58,122,94,51,64,22,40,38
2022-07-22 02:06:00,18,26,59,8,18,17,18,16,86,63,87,38,70,101,51,82,41,44
2022-07-22 02:07:00,20,27,60,8,21,24,28,18,79,39,83,46,136,27,28,30,75,73
2022-07-22 02:08:00,19,27,59,11,22,22,19,19,23,48,51,61,153,80,47,32,53,31
2022-07-22 02:09:00,17,25,57,11,18,13,16,13,24,80,86,35,29,96,44,71,53,29
2022-07-22 02:10:00,17,25,58,13,20,16,18,16,27,74,109,29,23,49,108,42,41,38
2022-07-22 02:11:00,17,25,57,12,16,17,24,13,27,104,49,55,47,91,107,18,59,40
2022-07-22 02:12:00,17,25,56,6,21,14,12,10,36,45,34,73,24,42,84,41,29,53
2022-07-22 02:13:00,18,27,59,13,14,14,23,21,22,50,21,35,86,58,48,60,21,59
2022-07-22 02:14:00,21,27,60,12,23,22,30,24,64,206,35,49,98,105,47,32,31,158
2022-07-22 02:15:00,21,29,61,9,27,29,29,24,80,54,6,81,40,76,35,9,21,72
2022-07-22 02:16:00,19,27,60,11,25,20,17,20,21,38,14,121,107,59,66,27,13,102
2022-07-22 02:17:00,21,29,61,6,25,24,26,23,22,95,50,119,37,93,92,24,43,50
2022-07-22 02:18:00,18,27,59,8,22,24,20,12,16,116,44,70,26,98,75,67,69,51
2022-07-22 02:19:00,17,25,57,4,18,19,16,17,23,64,35,69,71,37,86,117,83,50
2022-07-22 02:20:00,19,27,59,5,13,22,24,25,45,34,43,50,92,31,61,34,32,40
2022-07-22 02:21:00,21,27,60,9,27,27,19,17,79,167,30,48,35,65,98,33,19,70
2022-07-22 02:22:00,18,26,59,11,19,17,16,21,42,54,24,55,66,35,48,19,16,30
2022-07-22 02:23:00,17,26,59,4,22,19,18,18,52,33,76,76,128,46,179,77,35,141
2022-07-22 02:24:00,18,27,59,12,23,19,14,11,33,53,60,60,34,56,104,47,69,113
2022-07-22 02:25:00,18,27,59,6,12,16,23,21,35,85,32,55,140,41,79,42,52,73
2022-07-22 02:26:00,18,26,59,9,21,22,11,17,49,32,73,70,62,45,39,19,18,104
2022-07-22 02:27:00,19,27,60,16,19,15,25,20,24,97,35,152,52,25,43,14,29,125
2022-07-22 02:28:00,17,25,57,13,21,7,16,17,15,61,70,44,112,80,59,23,46,73
2022-07-22 02:29:00,19,27,60,12,28,19,17,19,81,80,44,83,91,31,120,79,34,81
2022-07-22 02:30:00,19,27,60,11,24,25,25,16,46,50,86,41,32,54,46,61,89,139
2022-07-22 02:31:00,19,27,59,14,22,15,18,25,43,98,32,48,26,33,32,58,34,66
2022-07-22 02:32:00,19,27,60,10,24,23,25,17,71,30,16,51,27,71,65,126,128,93
2022-07-22 02:33:00,18,27,59,4,22,19,22,14,85,32,20,59,45,56,35,31,75,39
2022-07-22 02:34:00,18,27,59,14,24,20,16,18,45,39,32,43,46,79,28,22,81,53
2022-07-22 02:35:00,18,27,59,12,15,15,21,22,11,41,71,66,77,82,17,51,31,36
2022-07-22 02:36:00,21,27,60,11,22,20,24,21,95,125,53,57,67,36,46,57,25,46
2022-07-22 02:37:00,23,31,63,8,30,33,32,28,52,49,27,74,38,27,89,27,64,34
2022-07-22 02:38:00,21,29,61,8,37,32,21,22,79,57,56,102,25,30,42,15,54,58
2022-07-22 02:39:00,21,27,60,9,24,26,20,20,35,169,47,52,21,54,58,31,29,68
2022-07-22 02:40:00,21,27,60,11,27,24,25,17,38,31,32,27,27,74,57,43,65,28
2022-07-22 02:41:00,21,28,60,12,25,21,34,27,59,29,24,44,38,107,29,72,39,19
2022-07-22 02:42:00,21,27,60,7,34,32,24,16,47,48,15,64,61,64,63,72,25,30
2022-07-22 02:43:00,19,27,60,10,22,27,21,19,35,157,36,61,39,68,36,28,28,99
2022-07-22 02:44:00,13,27,60,12,27,26,33,23,29,79,45,66,29,38,43,144,26,107
2022-07-22 02:45:00,10,29,61,13,30,38,33,25,97,65,64,103,50,33,73,74,49,53
2022-07-22 02:46:00,11,27,60,13,31,28,31,13,54,24,37,61,131,90,51,29,28,44
2022-07-22 02:47:00,14,27,59,14,25,19,17,22,43,48,29,45,55,95,61,33,23,53
2022-07-22 02:48:00,14,27,60,11,24,20,27,18,38,36,25,86,57,45,31,44,17,110
2022-07-22 02:49:00,10,27,60,12,20,21,26,19,51,93,52,33,56,37,32,34,35,87
2022-07-22 02:50:00,12,31,63,15,33,32,28,24,58,99,44,32,35,116,28,62,42,69
2022-07-22 02:51:00,15,27,60,16,27,20,23,12,54,49,52,61,145,52,57,41,64,40
2022-07-22 02:52:00,11,13,58,10,21,8,22,27,58,38,57,51,58,22,26,104,14,29
2022-07-22 02:53:00,10,22,62,21,27,26,34,23,62,34,92,85,122,34,64,28,16,59
2022-07-22 02:54:00,14,30,63,17,36,22,30,23,49,62,37,38,60,31,50,82,31,36
2022-07-22 02:55:00,13,36,9,17,32,32,30,17,114,101,72,26,32,41,176,16,34,57
2022-07-22 02:56:00,19,34,29,19,25,23,20,13,57,84,49,166,97,33,37,59,25,134
2022-07-22 02:57:00,14,20,20,17,37,27,28,19,40,105,145,52,78,36,49,17,21,71
2022-07-22 02:58:00,11,26,25,21,33,35,30,22,20,65,61,57,115,49,34,26,24,29
2022-07-22 02:59:00,19,28,26,18,28,27,33,24,26,37,43,112,18,36,65,36,18,16
2022-07-22 03:00:00,16,25,34,11,33,35,35,24,56,64,58,64,57,30,30,27,40,25
2022-07-22 03:01:00,18,19,25,18,25,24,29,25,45,42,33,40,49,63,24,24,43,50
2022-07-22 03:02:00,17,33,31,26,33,30,29,26,59,86,29,98,146,127,20,93,55,58
2022-07-22 03:03:00,17,32,28,20,34,34,38,22,22,63,48,60,58,38,31,35,30,131
2022-07-22 03:04:00,24,37,31,14,35,34,35,23,38,108,53,31,83,97,53,72,47,40
2022-07-22 03:05:00,16,37,37,22,39,36,39,20,71,97,52,35,60,47,49,28,19,37
2022-07-22 03:06:00,26,34,37,26,46,36,43,28,67,53,52,52,53,26,50,39,92,36
2022-07-22 03:07:00,35,36,36,27,42,36,35,25,68,24,37,122,53,37,35,35,31,56
2022-07-22 03:08:00,28,31,38,15,35,38,52,23,57,46,36,75,41,41,42,21,45,20
2022-07-22 03:09:00,27,32,44,26,53,40,37,26,64,79,38,26,75,54,68,59,51,64
2022-07-22 03:10:00,37,42,45,27,46,37,37,17,19,79,39,25,25,68,96,67,31,106
2022-07-22 03:11:00,29,24,45,17,39,35,49,41,9,61,26,36,42,89,50,86,34,90
2022-07-22 03:12:00,28,32,30,25,52,51,57,39,28,41,37,41,137,49,74,47,80,163
2022-07-22 03:13:00,23,46,54,33,63,49,60,37,35,76,21,20,31,24,86,43,60,38
2022-07-22 03:14:00,28,44,48,32,66,41,33,18,44,41,102,68,50,50,98,114,83,27
2022-07-22 03:15:00,41,47,39,33,30,27,42,28,34,56,25,45,140,18,33,36,47,17
2022-07-22 03:16:00,27,31,32,42,36,31,30,24,23,31,71,96,49,24,60,21,17,37
2022-07-22 03:17:00,34,25,28,41,38,41,43,26,60,27,55,72,142,61,22,62,11,47
2022-07-22 03:18:00,31,25,37,36,49,41,56,30,70,113,44,37,54,54,31,32,20,97
2022-07-22 03:19:00,27,34,35,27,47,45,49,25,23,64,38,112,78,73,17,41,44,39
2022-07-22 03:20:00,27,41,51,31,58,47,46,33,55,38,42,44,46,50,38,93,44,44
2022-07-22 03:21:00,26,48,39,35,51,60,74,36,37,46,24,25,22,27,78,74,29,60
2022-07-22 03:22:00,33,39,46,38,68,54,52,30,39,47,43,63,109,32,132,53,33,72
2022-07-22 03:23:00,36,45,47,39,52,41,43,21,21,29,133,47,130,51,41,53,24,45
2022-07-22 03:24:00,28,37,39,31,52,53,59,33,17,47,61,68,93,81,64,29,33,45
2022-07-22 03:25:00,32,42,58,34,67,58,58,36,30,107,126,65,44,77,35,68,37,48
2022-07-22 03:26:00,42,45,46,25,70,68,71,39,25,62,81,55,49,53,14,22,46,85
2022-07-22 03:27:00,35,45,65,40,63,63,60,31,47,65,33,150,80,28,27,37,52,48
2022-07-22 03:28:00,41,47,46,34,56,54,62,32,22,17,45,56,110,32,42,34,43,60
2022-07-22 03:29:00,35,53,44,34,83,61,60,45,71,32,174,47,81,36,63,40,64,121
2022-07-22 03:30:00,39,52,61,31,82,51,63,34,102,17,47,116,52,100,43,55,11,46
2022-07-22 03:31:00,34,58,66,35,75,54,65,29,47,19,30,57,30,46,76,28,27,26
2022-07-22 03:32:00,27,68,59,35,72,56,68,26,65,31,30,36,55,62,58,16,110,32
2022-07-22 03:33:00,37,64,68,53,79,75,78,37,94,107,68,82,30,70,84,20,39,123
2022-07-22 03:34:00,31,61,76,36,76,73,97,35,55,41,31,33,25,33,37,36,43,43
2022-07-22 03:35:00,34,66,67,33,91,83,84,26,81,133,13,20,14,33,112,51,29,28
2022-07-22 03:36:00,35,60,78,40,83,89,110,43,66,122,73,16,23,32,62,50,30,99
2022-07-22 03:37:00,44,59,98,31,120,82,92,41,67,77,40,18,55,58,72,27,75,26
2022-07-22 03:38:00,45,83,91,40,83,92,95,43,34,98,44,22,127,57,48,31,43,50
2022-07-22 03:39:00,42,71,88,44,108,90,119,34,35,16,59,49,73,96,22,60,36,69
2022-07-22 03:40:00,41,70,90,42,110,91,99,38,50,67,37,64,73,49,29,23,82,63
2022-07-22 03:41:00,34,70,101,33,105,93,101,36,66,43,13,63,123,16,59,69,26,33
2022-07-22 03:42:00,27,76,97,35,105,98,115,31,26,39,16,44,51,38,44,19,33,62
2022-07-22 03:43:00,40,59,102,48,106,98,115,43,23,58,33,62,153,84,44,19,39,41
2022-07-22 03:44:00,41,76,113,48,125,90,107,44,102,127,16,27,53,22,125,78,45,132
2022-07-22 03:45:00,35,82,102,60,114,92,135,42,61,126,27,81,121,58,60,68,72,60
2022-07-22 03:46:00,42,82,103,51,127,91,117,29,53,43,65,53,45,45,19,25,30,160
2022-07-22 03:47:00,36,78,112,42,115,79,114,38,21,70,22,62,55,63,35,19,15,104
2022-07-22 03:48:00,34,64,96,56,138,102,117,31,26,69,19,55,106,27,74,26,16,33
2022-07-22 03:49:00,29,87,123,75,115,96,108,27,31,93,25,29,43,36,36,46,122,83
2022-07-22 03:50:00,37,81,111,54,110,92,148,32,65,63,87,98,121,76,48,30,65,81
2022-07-22 03:51:00,38,83,113,49,141,106,132,27,42,96,75,40,56,58,64,42,88,25
2022-07-22 03:52:00,38,87,113,45,130,98,131,31,26,118,130,91,44,35,44,30,100,18
2022-07-22 03:53:00,32,77,117,52,114,94,152,25,28,33,56,27,29,52,43,19,97,40
2022-07-22 03:54:00,33,78,119,55,152,102,150,33,93,18,62,78,47,15,57,90,43,91
2022-07-22 03:55:00,58,91,123,70,141,94,139,29,61,20,46,73,94,39,27,21,45,162
2022-07-22 03:56:00,42,89,120,54,129,100,153,30,37,37,31,73,48,81,15,27,51,115
2022-07-22 03:57:00,35,83,120,68,138,95,120,25,30,94,12,61,71,52,57,63,23,62
2022-07-22 03:58:00,35,82,115,49,124,101,160,31,57,136,35,131,63,41,26,65,18,40
2022-07-22 03:59:00,34,84,128,52,159,107,152,29,49,41,44,109,85,91,56,35,43,41
2022-07-22 04:00:00,32,97,139,72,143,97,122,27,67,82,37,99,68,60,16,33,30,58
2022-07-22 04:01:00,28,82,118,57,119,109,138,18,32,19,51,35,51,79,63,22,18,12
2022-07-22 04:02:00,37,70,118,55,143,123,160,28,37,21,46,44,178,48,74,27,33,15
2022-07-22 04:03:00,41,98,121,50,135,124,148,27,81,49,58,27,80,17,186,75,102,55
2022-07-22 04:04:00,41,99,147,59,153,99,117,23,31,58,95,34,33,93,43,30,69,205
2022-07-22 04:05:00,37,88,117,53,121,102,147,29,27,40,37,92,91,77,65,22,31,181
2022-07-22 04:06:00,26,44,101,53,135,115,144,36,9,36,17,38,150,65,68,36,61,62
2022-07-22 04:07:00,14,22,127,35,154,110,142,40,82,23,26,83,121,30,41,38,35,19
2022-07-22 04:08:00,13,9,141,33,121,109,134,25,51,38,55,30,51,29,38,76,54,47
2022-07-22 04:09:00,11,7,117,48,131,119,158,23,42,112,26,116,48,40,76,51,21,45
2022-07-22 04:10:00,5,10,141,52,140,101,152,18,21,52,27,30,71,97,31,85,29,70
2022-07-22 04:11:00,11,6,129,44,116,112,156,14,27,76,82,76,19,42,62,50,82,58
2022-07-22 04:12:00,11,5,136,49,139,115,162,34,32,160,98,47,71,73,55,70,51,47
2022-07-22 04:13:00,14,10,139,54,149,104,157,15,22,51,106,52,40,45,52,30,49,97
