,Avg_1,Avg_2,Avg_3,Avg_4,Avg_5,Avg_6,Avg_7,Avg_8
6811,9.266666666666667,8.5,14.326000000000002,11.835833333333333,8.889999999999999,6.575,12.362,11.078
6812,11.233333333333334,8.36,12.55,8.823333333333332,10.429999999999998,6.603333333333333,11.012,7.9399999999999995
6813,9.216666666666667,6.76,10.96,8.13875,8.580000000000002,5.489999999999999,9.421999999999999,7.101999999999999
6814,7.766666666666666,4.64,7.452,8.637500000000001,7.414,3.715,6.26,8.522
6815,5.783333333333334,6.119999999999999,11.636,12.061666666666667,5.078,5.098333333333334,10.0,11.644
6816,9.216666666666667,11.620000000000001,18.383999999999997,12.454166666666667,8.03,8.604999999999999,16.517999999999997,10.579999999999998
6817,14.016666666666667,5.795999999999999,6.556,7.246666666666666,13.98,5.086666666666666,5.558000000000001,7.068
6818,5.8,6.4799999999999995,11.436000000000002,11.2425,4.8020000000000005,4.678333333333334,10.596,10.356
6819,9.950000000000001,8.04,10.606,8.692916666666667,8.534,7.023333333333333,9.639999999999999,7.578
6820,8.416666666666666,5.142,7.6819999999999995,6.957916666666667,7.972000000000001,4.0633333333333335,6.68,6.369999999999999
6821,4.766666666666667,4.178,6.812,7.0633333333333335,4.2700000000000005,3.7883333333333336,6.01,6.45
6822,7.084999999999998,6.792,9.65,9.39625,5.798,5.364999999999999,9.98,7.959999999999999
6823,9.88,6.05,8.394,7.615833333333334,8.798,5.331666666666666,8.158,6.202
6824,8.016666666666666,6.45,7.386,9.159166666666666,6.8,5.843333333333333,8.11,7.604000000000001
6825,7.696666666666666,5.886,9.244,11.7425,6.536,5.87,9.398,10.129999999999999
6826,8.655,7.9,10.542,7.721666666666667,7.386,6.243333333333335,10.088000000000001,6.272
6827,9.046666666666669,7.0200000000000005,9.192,7.107499999999999,8.044,5.9416666666666655,8.628,5.654000000000001
6828,8.549999999999999,4.412,6.764,6.004166666666666,8.172,3.846666666666667,6.264,5.192
6829,6.164999999999999,5.5,8.517999999999999,6.2525,5.618,3.94,8.232,5.03
6830,7.973333333333333,5.58,6.965999999999999,5.904166666666666,7.37,4.278333333333333,7.040000000000001,4.814
6831,6.566666666666666,6.378,6.99,7.216666666666666,5.774,4.465,7.744,6.359999999999999
6832,6.666666666666667,7.340000000000001,9.09,8.397499999999999,5.656000000000001,5.114999999999999,9.926,6.9719999999999995
6833,8.549999999999999,5.747999999999999,7.031999999999999,5.898333333333333,7.648000000000001,4.443333333333334,7.039999999999999,4.858
6834,5.766666666666667,3.5020000000000002,4.537999999999999,4.155833333333334,5.628,2.8966666666666665,4.040000000000001,3.832
6835,4.095,4.018,5.792,4.185416666666667,3.5220000000000007,2.8699999999999997,5.488,3.4939999999999998
6836,5.8999999999999995,3.28,7.063999999999998,4.656666666666666,5.62,2.66,5.612,4.1339999999999995
6837,5.22,4.536,6.638,4.887083333333333,4.63,3.215,6.498,4.1259999999999994
